C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-132,388.84,1.497,1.526,1.543,1.512,1.407
-131,386.76,1.505,1.539,1.554,1.529,1.397
-130,384.63,1.508,1.553,1.567,1.546,1.368
-129,382.47,1.518,1.567,1.577,1.568,1.36
-128,380.26,1.545,1.578,1.592,1.579,1.432
-127,378.01,1.531,1.594,1.604,1.576,1.35
-126,375.72,1.567,1.606,1.618,1.591,1.451
-125,373.39,1.579,1.619,1.627,1.588,1.484
-124,371.02,1.596,1.633,1.635,1.607,1.508
-123,368.61,1.64,1.645,1.643,1.648,1.624
-122,366.16,1.68,1.653,1.654,1.668,1.746
-121,363.66,1.693,1.666,1.673,1.678,1.753
-120,361.13,1.693,1.68,1.692,1.687,1.713
-119,358.56,1.727,1.703,1.712,1.71,1.784
-118,355.95,1.747,1.719,1.729,1.728,1.812
-117,353.3,1.753,1.733,1.745,1.756,1.78
-116,350.61,1.753,1.753,1.76,1.777,1.721
-115,347.89,1.772,1.78,1.801,1.795,1.712
-114,345.12,1.789,1.792,1.849,1.811,1.704
-113,342.32,1.825,1.815,1.861,1.829,1.793
-112,339.49,1.877,1.847,1.882,1.848,1.932
-111,336.61,1.925,1.86,1.873,1.87,2.096
-110,333.71,1.952,1.876,1.885,1.883,2.163
-109,330.76,1.961,1.893,1.913,1.9,2.138
-108,327.79,1.965,1.921,1.938,1.915,2.084
-107,324.77,1.987,1.95,1.957,1.942,2.101
-106,321.73,2.02,1.988,1.983,1.978,2.133
-105,318.65,2.057,2.019,2.011,2.014,2.185
-104,315.54,2.086,2.045,2.032,2.046,2.221
-103,312.4,2.098,2.066,2.059,2.063,2.203
-102,309.23,2.096,2.088,2.086,2.078,2.131
-101,306.03,2.104,2.116,2.117,2.107,2.075
-100,302.8,2.121,2.144,2.137,2.141,2.06
-99,299.54,2.15,2.178,2.167,2.177,2.077
-98,296.26,2.189,2.213,2.207,2.211,2.126
-97,292.95,2.236,2.258,2.253,2.246,2.187
-96,289.61,2.278,2.295,2.292,2.289,2.235
-95,286.24,2.318,2.332,2.326,2.33,2.283
-94,282.86,2.359,2.364,2.36,2.356,2.354
-93,279.45,2.403,2.401,2.387,2.39,2.432
-92,276.02,2.453,2.439,2.424,2.431,2.518
-91,272.57,2.509,2.481,2.467,2.478,2.611
-90,269.09,2.572,2.525,2.514,2.527,2.723
-89,265.6,2.635,2.576,2.559,2.57,2.837
-88,262.09,2.694,2.629,2.607,2.612,2.929
-87,258.57,2.741,2.675,2.651,2.655,2.981
-86,255.03,2.784,2.722,2.696,2.71,3.007
-85,251.47,2.821,2.766,2.743,2.758,3.016
-84,247.9,2.862,2.813,2.798,2.801,3.035
-83,244.32,2.91,2.861,2.851,2.845,3.081
-82,240.73,2.972,2.919,2.909,2.906,3.155
-81,237.12,3.041,2.98,2.969,2.97,3.244
-80,233.51,3.106,3.048,3.034,3.033,3.311
-79,229.9,3.167,3.108,3.1,3.093,3.366
-78,226.27,3.221,3.168,3.167,3.15,3.399
-77,222.65,3.277,3.227,3.227,3.221,3.432
-76,219.02,3.339,3.293,3.293,3.285,3.485
-75,215.38,3.413,3.365,3.367,3.358,3.562
-74,211.75,3.492,3.449,3.449,3.437,3.631
-73,208.12,3.575,3.543,3.534,3.522,3.702
-72,204.49,3.659,3.621,3.612,3.609,3.794
-71,200.86,3.742,3.701,3.688,3.687,3.894
-70,197.24,3.822,3.77,3.77,3.771,3.975
-69,193.62,3.914,3.862,3.874,3.862,4.059
-68,190.02,4.026,3.976,3.992,3.97,4.166
-67,186.42,4.136,4.105,4.099,4.083,4.259
-66,182.83,4.228,4.207,4.191,4.198,4.316
-65,179.26,4.317,4.296,4.289,4.3,4.386
-64,175.7,4.429,4.393,4.396,4.403,4.524
-63,172.16,4.566,4.528,4.527,4.53,4.68
-62,168.63,4.709,4.682,4.664,4.666,4.823
-61,165.12,4.829,4.81,4.79,4.798,4.917
-60,161.63,4.939,4.922,4.909,4.917,5.01
-59,158.16,5.067,5.044,5.045,5.047,5.131
-58,154.72,5.231,5.204,5.208,5.204,5.309
-57,151.3,5.406,5.393,5.365,5.368,5.499
-56,147.9,5.561,5.549,5.521,5.527,5.646
-55,144.53,5.71,5.685,5.684,5.68,5.791
-54,141.19,5.897,5.858,5.876,5.862,5.991
-53,137.89,6.122,6.082,6.068,6.064,6.273
-52,134.61,6.328,6.285,6.256,6.253,6.517
-51,131.37,6.524,6.464,6.452,6.447,6.732
-50,128.16,6.731,6.664,6.66,6.657,6.942
-49,124.99,6.957,6.901,6.884,6.884,7.157
-48,121.85,7.179,7.141,7.116,7.119,7.34
-47,118.76,7.413,7.395,7.359,7.36,7.538
-46,115.7,7.641,7.633,7.616,7.602,7.712
-45,112.69,7.88,7.886,7.878,7.864,7.891
-44,109.72,8.162,8.188,8.172,8.147,8.142
-43,106.8,8.475,8.53,8.466,8.459,8.444
-42,103.92,8.736,8.776,8.731,8.738,8.698
-41,101.09,9.05,9.061,9.055,9.035,9.048
-40,98.3,9.461,9.474,9.434,9.423,9.514
-39,95.57,9.82,9.825,9.757,9.765,9.933
-38,92.89,10.182,10.164,10.121,10.112,10.332
-37,90.26,10.571,10.547,10.495,10.502,10.74
-36,87.69,10.948,10.904,10.892,10.881,11.114
-35,85.17,11.446,11.431,11.354,11.353,11.647
-34,82.71,11.844,11.834,11.754,11.781,12.009
-33,80.31,12.227,12.221,12.183,12.196,12.309
-32,77.96,12.748,12.772,12.701,12.71,12.809
-31,75.67,13.226,13.257,13.199,13.209,13.238
-30,73.45,13.779,13.839,13.74,13.763,13.773
-29,71.29,14.23,14.266,14.224,14.243,14.189
-28,69.19,14.812,14.875,14.827,14.805,14.741
-27,67.15,15.457,15.527,15.422,15.422,15.456
-26,65.18,16.024,16.086,16.01,16.002,15.999
-25,63.28,16.646,16.714,16.616,16.613,16.642
-24,61.44,17.254,17.305,17.25,17.231,17.231
-23,59.67,17.994,18.081,17.954,17.927,18.016
-22,57.97,18.661,18.738,18.603,18.614,18.687
-21,56.34,19.288,19.363,19.267,19.265,19.256
-20,54.78,20.016,20.093,19.989,20.008,19.973
-19,53.29,20.734,20.851,20.724,20.727,20.634
-18,51.87,21.489,21.622,21.44,21.483,21.412
-17,50.53,22.108,22.217,22.133,22.164,21.919
-16,49.26,22.873,22.989,22.873,22.924,22.706
-15,48.06,23.619,23.766,23.633,23.671,23.407
-14,46.93,24.349,24.522,24.335,24.384,24.153
-13,45.89,25.002,25.149,25.021,25.095,24.744
-12,44.91,25.724,25.902,25.75,25.816,25.429
-11,44.02,26.43,26.61,26.418,26.522,26.171
-10,43.2,27.136,27.35,27.103,27.247,26.846
-9,42.45,27.714,27.9,27.694,27.867,27.394
-8,41.79,28.406,28.638,28.351,28.562,28.072
-7,41.2,29.055,29.318,28.996,29.222,28.682
-6,40.69,29.677,29.973,29.61,29.889,29.237
-5,40.26,30.352,30.677,30.268,30.58,29.884
-4,39.9,31.072,31.445,31.02,31.327,30.495
-3,39.63,31.855,32.248,31.819,32.145,31.207
-2,39.43,32.764,33.192,32.774,33.096,31.995
-1,39.31,33.804,34.207,33.868,34.199,32.939
0,39.27,34.979,35.361,35.138,35.439,33.979
1,39.31,36.346,36.693,36.644,36.856,35.19
2,39.43,37.966,38.274,38.409,38.512,36.671
3,39.63,39.748,39.955,40.383,40.36,38.293
4,39.9,41.698,41.809,42.578,42.336,40.067
5,40.26,43.841,43.85,44.97,44.487,42.058
6,40.69,46.081,45.948,47.461,46.74,44.174
7,41.2,48.381,48.115,50.023,49.033,46.353
8,41.79,50.747,50.339,52.631,51.391,48.627
9,42.45,53.079,52.542,55.168,53.724,50.883
10,43.2,55.356,54.679,57.632,56.01,53.102
11,44.02,57.525,56.732,59.931,58.204,55.231
12,44.91,59.533,58.61,62.057,60.25,57.214
13,45.89,61.333,60.323,63.906,62.092,59.011
14,46.93,62.876,61.789,65.454,63.68,60.582
15,48.06,64.114,62.997,66.627,64.967,61.866
16,49.26,65.047,63.92,67.47,65.951,62.847
17,50.53,65.647,64.554,67.913,66.631,63.488
18,51.87,65.941,64.916,68.023,66.969,63.858
19,53.29,65.944,65.003,67.824,67.004,63.944
20,54.78,65.639,64.859,67.311,66.673,63.714
21,56.34,65.087,64.415,66.551,66.112,63.272
22,57.97,64.268,63.784,65.498,65.212,62.576
23,59.67,63.261,62.863,64.324,64.148,61.707
24,61.44,62.068,61.841,62.863,62.879,60.687
25,63.28,60.739,60.606,61.375,61.474,59.501
26,65.18,59.261,59.272,59.694,59.877,58.203
27,67.15,57.732,57.815,58.071,58.246,56.797
28,69.19,56.111,56.299,56.296,56.539,55.309
29,71.29,54.481,54.705,54.638,54.831,53.752
30,73.45,52.793,53.101,52.85,53.052,52.17
31,75.67,51.149,51.464,51.204,51.341,50.587
32,77.96,49.482,49.856,49.461,49.607,49.006
33,80.31,47.877,48.243,47.866,47.951,47.447
34,82.71,46.267,46.661,46.217,46.285,45.903
35,85.17,44.714,45.108,44.684,44.68,44.384
36,87.69,43.18,43.581,43.105,43.111,42.923
37,90.26,41.714,42.117,41.636,41.599,41.506
38,92.89,40.288,40.693,40.187,40.138,40.134
39,95.57,38.917,39.333,38.805,38.736,38.795
40,98.3,37.591,37.995,37.46,37.393,37.516
41,101.09,36.313,36.741,36.165,36.073,36.274
42,103.92,35.085,35.491,34.938,34.832,35.081
43,106.8,33.895,34.327,33.726,33.626,33.902
44,109.72,32.758,33.174,32.606,32.499,32.753
45,112.69,31.644,32.097,31.483,31.359,31.639
46,115.7,30.588,31.033,30.455,30.311,30.553
47,118.76,29.557,30.034,29.416,29.279,29.497
48,121.85,28.602,29.073,28.498,28.331,28.505
49,124.99,27.664,28.15,27.536,27.395,27.574
50,128.16,26.794,27.266,26.691,26.51,26.71
51,131.37,25.952,26.417,25.821,25.656,25.916
52,134.61,25.165,25.619,25.051,24.843,25.149
53,137.89,24.411,24.821,24.273,24.075,24.474
54,141.19,23.697,24.087,23.537,23.334,23.831
55,144.53,23.017,23.349,22.841,22.639,23.24
56,147.9,22.361,22.68,22.152,21.951,22.662
57,151.3,21.735,22.013,21.533,21.296,22.098
58,154.72,21.115,21.391,20.884,20.665,21.52
59,158.16,20.534,20.784,20.31,20.104,20.938
60,161.63,19.964,20.202,19.725,19.544,20.387
61,165.12,19.409,19.649,19.19,18.984,19.815
62,168.63,18.872,19.11,18.662,18.45,19.266
63,172.16,18.355,18.608,18.154,17.922,18.733
64,175.7,17.864,18.104,17.676,17.452,18.222
65,179.26,17.392,17.634,17.203,16.991,17.742
66,182.83,16.944,17.189,16.772,16.539,17.274
67,186.42,16.511,16.753,16.348,16.107,16.836
68,190.02,16.089,16.336,15.926,15.687,16.406
69,193.62,15.691,15.932,15.541,15.297,15.993
70,197.24,15.31,15.543,15.163,14.924,15.609
71,200.86,14.943,15.184,14.796,14.556,15.235
72,204.49,14.589,14.822,14.461,14.204,14.871
73,208.12,14.248,14.475,14.126,13.867,14.525
74,211.75,13.924,14.145,13.813,13.547,14.193
75,215.38,13.616,13.825,13.513,13.25,13.876
76,219.02,13.318,13.52,13.219,12.952,13.581
77,222.65,13.03,13.226,12.934,12.663,13.297
78,226.27,12.752,12.937,12.656,12.389,13.028
79,229.9,12.492,12.667,12.4,12.126,12.778
80,233.51,12.241,12.403,12.152,11.873,12.536
81,237.12,11.992,12.147,11.907,11.632,12.283
82,240.73,11.751,11.902,11.676,11.392,12.033
83,244.32,11.52,11.67,11.453,11.162,11.795
84,247.9,11.291,11.445,11.238,10.945,11.538
85,251.47,11.068,11.226,11.024,10.736,11.285
86,255.03,10.854,11.011,10.821,10.533,11.051
87,258.57,10.653,10.808,10.619,10.339,10.845
88,262.09,10.468,10.619,10.436,10.145,10.672
89,265.6,10.293,10.425,10.258,9.964,10.526
90,269.09,10.133,10.242,10.085,9.79,10.415
91,272.57,9.974,10.069,9.911,9.624,10.294
92,276.02,9.808,9.896,9.752,9.455,10.13
93,279.45,9.643,9.733,9.593,9.298,9.946
94,282.86,9.485,9.575,9.45,9.146,9.767
95,286.24,9.33,9.419,9.302,8.998,9.601
96,289.61,9.176,9.267,9.155,8.863,9.418
97,292.95,9.02,9.124,9.019,8.721,9.216
98,296.26,8.879,8.989,8.898,8.59,9.039
99,299.54,8.76,8.859,8.781,8.456,8.943
100,302.8,8.658,8.726,8.657,8.33,8.918
101,306.03,8.552,8.602,8.536,8.207,8.862
102,309.23,8.443,8.485,8.426,8.085,8.777
103,312.4,8.338,8.365,8.312,7.97,8.705
104,315.54,8.235,8.248,8.205,7.861,8.626
105,318.65,8.129,8.138,8.096,7.754,8.526
106,321.73,8.018,8.031,7.996,7.65,8.395
107,324.77,7.906,7.927,7.899,7.55,8.246
108,327.79,7.797,7.827,7.809,7.45,8.101
109,330.76,7.688,7.721,7.715,7.352,7.964
110,333.71,7.585,7.624,7.613,7.261,7.842
111,336.61,7.485,7.525,7.518,7.175,7.72
112,339.49,7.389,7.433,7.435,7.096,7.593
113,342.32,7.298,7.342,7.35,7.018,7.482
114,345.12,7.214,7.257,7.264,6.938,7.398
115,347.89,7.137,7.17,7.187,6.861,7.33
116,350.61,7.056,7.089,7.104,6.781,7.251
117,353.3,6.98,7.011,7.03,6.702,7.178
118,355.95,6.909,6.928,6.954,6.631,7.121
119,358.56,6.841,6.857,6.884,6.558,7.064
120,361.13,6.774,6.782,6.813,6.491,7.012
121,363.66,6.708,6.709,6.736,6.424,6.962
122,366.16,6.643,6.645,6.671,6.354,6.903
123,368.61,6.574,6.575,6.609,6.291,6.82
124,371.02,6.504,6.503,6.541,6.228,6.742
125,373.39,6.445,6.443,6.48,6.17,6.685
126,375.72,6.39,6.381,6.424,6.112,6.644
127,378.01,6.335,6.322,6.368,6.056,6.592
128,380.26,6.272,6.259,6.313,5.995,6.519
129,382.47,6.205,6.202,6.254,5.936,6.429
130,384.63,6.135,6.14,6.196,5.88,6.326
131,386.76,6.067,6.083,6.14,5.822,6.225
132,388.84,6.001,6.025,6.08,5.766,6.133
133,390.88,5.932,5.956,6.022,5.709,6.041
134,392.87,5.864,5.889,5.968,5.648,5.95
135,394.83,5.798,5.831,5.913,5.588,5.859
136,396.74,5.737,5.773,5.855,5.53,5.791
137,398.61,5.677,5.709,5.799,5.472,5.73
138,400.43,5.615,5.642,5.736,5.414,5.666
139,402.22,5.551,5.572,5.668,5.353,5.61
140,403.96,5.492,5.508,5.606,5.291,5.562
141,405.66,5.435,5.442,5.541,5.231,5.525
142,407.31,5.38,5.382,5.472,5.171,5.493
143,408.92,5.321,5.311,5.404,5.109,5.46
144,410.49,5.263,5.239,5.343,5.046,5.425
145,412.02,5.209,5.175,5.278,4.979,5.404
146,413.5,5.15,5.104,5.213,4.907,5.377
147,414.94,5.088,5.027,5.148,4.836,5.342
148,416.33,5.024,4.96,5.081,4.769,5.287
149,417.69,4.953,4.887,5.014,4.704,5.205
150,419,4.875,4.81,4.941,4.637,5.113
151,420.26,4.801,4.732,4.87,4.566,5.035
152,421.49,4.724,4.653,4.797,4.49,4.955
153,422.67,4.649,4.581,4.722,4.42,4.874
154,423.8,4.58,4.503,4.646,4.347,4.825
155,424.9,4.512,4.425,4.575,4.273,4.775
156,425.95,4.437,4.344,4.497,4.193,4.712
